제목,내용
AI에 진심인 크래프톤...신규 먹거리 '딥러닝' 분야 주력," 지난해 부진한 실적을 기록한 크래프톤이 올해 게임 부문의 수익성 개선을 본격화하고, 특히, 신사업 인공지능(AI) '딥러닝' 분야에 주력할 전망이다. 12일 업계에 따르면 크래프톤은 올해 신사업으로 딥러닝을 꼽으며 약... "
"LG전자, 딥러닝 적용 ‘LG 트롬 워시타워’ 출시", 'LG 드럼 워시타워'는 딥러닝 기술을 이용해 옷감 손상을 최소화합니다. 의류 재질을 인식한 후 최적의 모션을 선택하여 세탁을 진행합니다. 자동세제함 플러스 기능도 향상됐습니다. 원하는 세제를 선택한 후 세탁을... 
4월 韓엔지니어상에 LG전자 서현석·에코프로비엠 신종승," 기사내용 요약 서현석 LG전자 연구위원, 세계 최초 딥러닝 AI 활용한 세탁기 개발 신종승 에코프로비엠 상무... 서현석 연구위원은 세계 최초로 세탁기 동작 알고리즘에 딥러닝 기술을 활용한 인공지능 세탁기 및 고용량... "
"허영인 회장 SPC, ‘AI 스캐너 사업’ 확대"," ‘AI 스캐너’는 딥러닝(Deep learning, 심층학습) 기반의 객체 인식 AI 기술을 활용한 제품 인식 스캐너로... 이는 데이터 분석, 딥러닝, 알고리즘 기술 등 섹타나인만의 고도화된 자체 기술력이 집약된 결과물로, ‘AI... "
"알파코캠퍼스 딥러닝 4기 교육생, '노트북으로 GPT 맛보기' 대회 1위 수상", 알파코(대표 이윤성)가 운영하는 알파코캠퍼스 '딥러닝 부트 캠프' 교육생이 마인즈앤컴퍼니에서... 이번 대회에는 알파코캠퍼스의 '딥러닝 부트 캠프' 4기 교육생으로 이루어진 BREADANDBUTTER TEAM(전민정... 
[포커스] 광명시 과학행정 가속화…빅데이터 접목, 광명시 또한 올해 하반기에 관내 전 지역에 ‘딥러닝 기반 영상분석’이 가능한 ‘지능형 CCTV 관제시스템’을 구축해 안전환경을 한층 강화한다는 방침이다. 지능형 CCTV 관제시스템은 CCTV에 딥러닝 기반 영상분석이... 
"UNIST, 리튬이온 배터리 평가를 위한 딥러닝 기반 그래픽 접근법 모델 개발"," 울산과학기술원(UNIST)은 UNIST 에너지화학공학과 김동혁, 최윤석 교수와 탄소중립대학원 임한권 교수팀이 '리튬이온 배터리 평가를 위한 딥러닝 기반 그래픽 접근법' 모델을 개발했다고 6일 밝혔다. 사진은 연구팀... "
"[더벨]스트라드비젼, '최대 1000억 '투자유치 나섰다", 딥러닝 기반 자율주행용 소프트웨어 개발기업 스트라드비젼이 최대 1000억원 조달을 목표로 투자유치에... 스트라드비젼의 대표 제품인 'SVNet'은 딥러닝 기술을 기반으로 한 차량 첨단운전자보조시스템용 객체 인식... 
[홍규선의 관광 딥러닝] 대한항공과 아시아나항공의 인수합병," 국내 항공 석권으로 독보적 지위 확보 마켓 쉐어 점유 가능한 기회 등 장점 마일리지통합·직원승계 조건 건 정부 저가항공사 ""요금의 횡포·독점"" 반발 승인 대상국 14개국 중 11개국만 승인 미국·유럽, 시장 독점 규제... "
"광명시, '인구 빅데이터 분석' 생애주기별 맞춤형 정책 추진", 시는 이와 함께 올 하반기에 관내 전 지역에 '딥러닝 기반 영상분석'이 가능한 '지능형 CCTV 관제시스템'을 구축해 안전 환경을 한층 강화한다는 방침이다. 지능형 CCTV 관제시스템은 CCTV에 딥러닝 기반 영상분석이... 
"서산의료원, 기존 MRI에 AI 딥러닝 기술 탑재...촬영시간 단축", 0T MRI( SIEMENS社 Lumina)에 AI 딥러닝 기술을 탑재해 내원객들의 편의성 향상이 기대된다. (사진 = 서산의료원 제공) 충청남도 서산의료원이 지난 2020년 도입한 3.0T MRI( SIEMENS社 Lumina)에 AI 딥러닝 기술을 탑재했다고... 
